fecha;humedad_rela;temp_min;temp_max;temp_ambiente;evaporacion;precipitacion;viento_km
1/9/2010;77.00;33.20;19.40;25.50;6.60;0.10;761
2/9/2010;77.00;32.40;21.80;25.40;5.00;0.00;651
3/9/2010;78.00;32.40;22.40;24.70;4.60;0.00;1030
4/9/2010;82.00;27.80;20.40;23.40;1.40;0.10;450
5/9/2010;79.00;28.80;20.40;24.80;3.20;0.00;511
6/9/2010;80.00;33.40;20.80;25.20;5.90;0.00;567
7/9/2010;75.00;29.00;22.40;25.20;3.90;0.00;526
8/9/2010;78.00;29.60;22.40;25.20;4.60;0.00;773
9/9/2010;80.00;30.20;21.20;25.50;2.70;0.00;408
10/9/2010;78.00;32.60;21.80;25.50;7.10;0.00;1013
11/9/2010;82.00;28.00;22.00;24.20;3.20;0.00;597
12/9/2010;76.00;30.20;21.80;25.30;5.00;0.00;849
13/9/2010;79.00;27.00;21.60;23.90;4.00;0.00;780
14/9/2010;83.00;26.80;21.00;23.00;2.90;0.00;669
15/9/2010;84.00;26.80;20.80;23.50;2.80;0.00;430
16/9/2010;78.00;28.20;21.20;24.30;3.10;0.00;540
17/9/2010;82.00;32.20;19.20;24.70;5.30;0.00;670
18/9/2010;82.00;29.20;21.60;24.10;4.50;0.00;580
19/9/2010;78.00;32.80;21.20;25.00;7.10;0.00;735
20/9/2010;79.00;27.20;22.00;24.10;2.50;0.00;498
21/9/2010;83.00;25.60;20.80;23.70;4.60;0.00;259
22/9/2010;79.00;31.60;21.40;24.70;5.20;0.30;714
23/9/2010;80.00;29.20;21.20;24.40;3.70;0.00;449
24/9/2010;77.00;31.40;21.00;25.20;5.20;0.00;561
25/9/2010;78.00;31.80;21.00;25.10;7.60;0.00;674
26/9/2010;76.00;33.20;22.60;25.90;2.40;0.00;1044
27/9/2010;77.00;29.60;22.60;25.40;4.30;0.00;757
28/9/2010;82.00;28.20;22.00;24.40;4.60;0.00;792
29/9/2010;84.00;26.20;21.60;23.40;10.90;1.00;697
30/9/2010;84.00;24.80;20.00;22.70;1.80;0.00;438
1/10/2010;78.00;31.20;20.40;24.70;5.90;5.90;696
2/10/2010;78.00;33.40;20.20;25.00;7.10;7.10;830
3/10/2010;79.00;32.20;19.40;24.40;6.90;6.90;826
4/10/2010;80.00;27.80;21.80;24.00;3.30;3.30;674
5/10/2010;78.00;30.20;21.40;24.80;6.00;6.00;845
6/10/2010;82.00;28.00;21.60;24.30;4.80;4.80;777
7/10/2010;77.00;31.00;21.60;25.10;6.80;6.80;960
8/10/2010;76.00;27.40;21.80;24.30;3.30;3.30;600
9/10/2010;86.00;29.80;20.20;23.90;4.10;4.10;468
10/10/2010;81.00;32.20;20.20;24.70;5.90;5.90;719
11/10/2010;78.00;30.60;21.80;25.00;4.30;4.30;646
12/10/2010;76.00;31.40;20.60;25.10;6.30;6.30;558
13/10/2010;75.00;31.00;20.80;25.10;5.20;5.20;745
14/10/2010;77.00;31.00;22.20;24.90;5.80;5.80;631
15/10/2010;74.00;31.80;21.60;25.10;6.50;6.50;596
16/10/2010;76.00;32.00;19.80;24.70;6.20;6.20;670
17/10/2010;76.00;29.60;20.40;24.70;5.80;5.80;755
18/10/2010;74.00;31.20;21.40;25.00;5.80;5.80;803
19/10/2010;77.00;29.20;21.40;24.20;4.50;4.50;519
20/10/2010;78.00;28.60;21.60;24.50;4.40;4.40;597
